ea,enemy,generation,genome,fitness
1,2,27,-0.6861515592039993 -0.7954005185845769 0.05742176899995055 0.7788746497114323 -0.16871396346793754 -0.9255496730020085 0.1636646324364568 -0.29548855438507005 -0.8954148677948119 -0.35819931366516755 0.2872118686534393 -0.5402776700403054 -0.6673281524976264 -0.7001826401503944 0.5146985692865074 -0.3550896045186106 0.07136418297033686 0.49963602009162655 0.9353364168854654 -0.2310615320362892 0.6998656506700878 0.2116598511437997 0.44161461587916073 0.30920662895645545 -0.6876288396995686 0.8267148912986186 0.4823634861366666 -0.9420718266294976 -0.2645896119780864 0.43400848687457305 0.29062704427243014 -0.9291352853327637 0.9055480980582254 -0.7305944172925802 0.12828697827325408 -0.8815049491172604 -0.23421483954438704 -0.7995230602532482 0.571003242505165 -0.3297440755219816 -0.07003678291453985 -0.3701837329287243 0.08137151689074301 0.9879102866154377 0.836202209750984 0.04825234467739814 0.26779422602685354 0.5840801949067751 0.5152592611165534 -0.4964092034728335 -0.23223456666369424 0.9480951137652385 -0.48408409568608857 0.43917914091980337 0.7598827645629536 -0.09870791557829572 -0.8939160844627916 0.7056529558285967 -0.8488206782409915 -1.7769273804680745 0.35157066444677537 -0.7628453356659926 0.4509843508412199 0.09750569915510843 -0.061206213227684936 -0.9088683117988035 -0.37657241126809526 0.45674962450281953 0.048909446024671954 0.7332994941427 0.01456672346561727 -0.41612390497786267 0.5274903720016815 0.9946222038565153 -0.011804789236081081 0.8471399694214563 -0.054323835884449334 0.342073313563916 0.6701397024682387 -0.639533500286708 -0.5867672290021948 0.05680163775443536 -0.9806753292416779 0.7707374985024926 0.7215979639972507 0.06905214436221563 -0.4593275085912154 0.48467906386767906 -0.018840959096753956 -0.14043246908057738 0.7457053617598126 0.18994535246070016 -0.7843127177753753 0.9058048885118177 -0.2977938637626629 1.0786547268570765 0.6818915001787307 0.7985355227928534 -0.06666070721956752 0.2072648856487247 0.888493214261195 0.20032527314777626 -0.5492274438359868 -0.7162786418607111 -0.7403660366677601 -0.19775463224091183 -1.0143103314275896 0.2867094944609436 0.700668008765174 0.7289409220927936 0.7182888303608306 0.5375219421487314 -0.27367518635428756 0.778649587536326 0.6530984106015807 0.8375437017645317 0.13267180736452722 -0.7644656290020186 0.8139147216562861 0.7607067706326924 -0.6095094375714547 -0.6006421380275238 0.3568923769511847 0.3291777095403498 0.8240856523155018 0.45048126251446585 0.7897321732943066 -0.4967927468540484 -0.32722149213932955 0.29006140293809146 -0.5775521267381459 0.034185127509183344 -0.9802396218313973 -0.8234648728598741 -0.5109661428470424 0.7032907341744551 0.823459594209194 0.9375852549905466 -0.8802518426533179 0.47312712855344596 -0.12167109005839483 -0.13379669129452143 0.6031098259928751 -0.7313664122393018 0.3744960868180418 0.05839533507294159 -0.5938171263688987 0.7737894492449902 -0.23650120215547665 -0.46860968050745555 0.9628070625047884 -0.6314324504387343 -0.5396612216255863 0.5125647666648265 -0.0555340269250959 0.5503822409306673 0.1019388441717589 0.05008938658101769 0.40218184787367783 -0.6701777809551746 0.7805457891677627 -0.69429032502847 -0.5155485056830411 -0.24391519830282204 -0.7837331811823294 -0.3356747017548596 0.6352790708689617 -0.31222710896603934 0.8671621114454842 -0.3147463188045215 0.3952372538011999 -0.47032979435418576 0.5543528412171568 0.4868450872854744 -0.1427906158964263 0.8393355079879237 0.12863057710319725 0.15002561852921814 -0.49802864994666707 -0.7847645318432643 0.6484322409672356 -0.39214514825611646 -0.0689691467070126 -0.5396860116801014 0.46344889069391515 -0.05879230198959351 0.8290462632271154 0.7089975457000992 0.5596914412197556 -0.6658996271885591 0.798272247197354 -0.7755850793881798 0.14553373814933934 -0.005094329903348127 -0.798723160420002 0.22459258581455954 -0.7036415471302102 -0.49868613204395285 0.745927319765221 -0.9516676944989695 -0.037410342855798806 0.7664185991951634 -0.15329775263792444 0.5318976131654025 -0.8284499838773989 0.42678261683980323 -0.007148687205807747 0.4994862363717629 -0.5415209327471306 -0.06801401706609057 -0.14400337437554955 -0.29396325441989757 -0.40210699960322005 0.6229150088373809 -0.09939185750845536 -0.8793650476296455 0.982357415064685 0.1803500354491736 0.009700656581512757 -0.3051331710834121 -0.7923404620591699 0.5453477336967689 -0.8963496995919629 -0.040878209155210454 0.9509437258929945 -0.869567250116131 -0.2462661244714417 -0.872245086234156 -0.6314490836773861 -0.19961411966062204 -0.09517943790516448 0.3533598647310563 0.926497453800472 0.821582951284236 -0.582215369692195 -0.7941738854692519 0.11848919497514565 -0.48879951950135636 -0.6916355859779191 0.7499189843879683 0.7577594830637815 0.08239175052683678 0.35472406739995455 -0.02586231419840157 -0.9020962684945053 0.6442952885167146 -0.11939607982477707 0.30400015965918215 -0.3634256361094501 0.07557697051211107 -0.9547374914789852 0.14993117521546484 0.6952627618119336 0.6858980648343949 0.2982921247395556 -0.39145365333683046 -0.2885571050915865 -0.8126429734745313 0.5464726674986087 0.39551589466724146 0.9366931496471176 -0.45964657909821516 0.29421104585736374 0.6460676489803636 0.5898735592734814,93.91859563501554
1,3,27,0.9758690734204712 0.6122514986124947 0.7549221547477667 0.40016496631646825 0.5962802108396354 0.21265756059563867 -0.05859734542385797 0.8463613547487473 -0.4530045293978546 -0.7422796053674607 0.8146094294130537 -0.22454704208997955 0.20915944135303888 -0.42940041890112957 -0.43630210680386705 0.7165733552568871 -0.9394355230126852 -0.3402481861550628 -0.2895212289007556 0.448612838040748 -0.25005594916327745 0.8221530719869592 0.4271466942750515 -0.7393132961607538 0.9136744884161252 -0.05650250458804851 -0.6661324959133761 0.437469046593411 -0.11676781553682858 0.8745516420772492 -0.631325908971295 -0.46967298806686664 -0.7453290667398638 0.3555321822304385 0.1377580310141311 0.19829331593304222 -0.3487506096413222 1.7390178104119278 -0.30936517513316797 -0.3499645735912164 -0.8739664719511133 -0.27865619035349337 -1.0611037487125694 -0.3539901421730225 0.5695449492555811 0.6335598588951346 0.7743216809727442 0.09127737827134697 -1.5153817675663557 -0.5989837344083433 0.7139013154877205 -0.4566364744663532 0.13806347252357143 -0.2301363105949792 0.921728848004044 0.6131614202494888 0.2662868971419763 -0.2184882154864014 0.31182245737990244 -0.08470036620725585 0.5726401219150661 0.32632811684784024 0.42819667790890187 -0.9782141397084871 -0.16882380466160804 -0.37898606151586955 0.8572758704423151 -0.6100818842052196 0.6298508765703172 0.18253751582601385 0.37902986939704 -0.5412271359372264 -0.8530767102484855 -0.6661014201897892 -0.012659356838829794 -0.5987467235316695 -0.7923979239660068 -0.42495976294988136 -0.1552769433136757 -0.7463279513752361 0.3958938919241768 0.9820090780411599 0.9357639891069371 0.8460162228013423 -0.9304991881981914 0.8035988382143253 0.6670719269768937 -0.1733767148060501 -0.8064440593505087 -0.7270304689901665 -0.36647198160739136 0.3518293673127266 -0.8835195375071776 0.38240192791703365 0.412605993714928 0.2961964842097521 -0.5652283089536507 -0.9417123318683511 -0.3891848549841843 -0.8833285792258492 0.14497067128250007 0.5899350985889336 0.7784727862298872 -0.6216210175433581 0.38948482651122873 0.7302508219010311 0.16530484924368216 -0.8167409820698255 -0.9879952809640324 -0.7132855086109449 -0.23926232126440405 -0.9315774099229999 -0.46887755664475583 0.8823017158298601 -0.07078312289867772 0.45221896370230086 0.012995292941356817 -0.16514028932093283 -0.36196784640395974 0.6419931833603857 0.946177595345419 -0.26096777700917095 -0.32584431257679913 -0.27248074760040897 0.8174128279133119 -0.7390162755442129 -0.41306834645764035 0.8726656823211203 -0.3482082285772641 -0.5114462928901868 0.07447947768935537 0.39816726608729036 -0.5769927016634409 0.8961323839323878 -0.39758611511820807 0.012426328922474639 0.7623154693183727 -0.27556383319866606 0.39277706055987305 -0.07699509204448596 0.10810242552366689 0.9160394172496484 -0.5687271665964833 -0.6313030825879546 0.03834523196342632 -0.1442947806986168 -0.6723730521506375 0.591053234777278 0.36644124530074085 -0.6909658287132823 0.518965702172552 -1.3157518997691777 -0.21320793625570317 -0.7663806277905765 0.5988553233215852 0.5736987850274594 0.28214034420684486 0.144259421303083 -0.9002039150948595 0.257847974222662 -0.19565138887210168 0.2764409335077267 -0.8662491932797516 -0.15526503480177523 -0.23063650531194235 -0.43643666602042885 0.9142244779587567 -0.02523909124751733 -0.4913905100214948 0.10141298005727584 -0.4714533654013502 0.1445853686838643 0.6844323904525225 -1.203787094589012 0.3492811768108859 -0.7105451944437324 0.47396055323239894 -0.6707660665891679 -0.9591794059874166 -0.2332066697930637 0.37242891422089497 -0.08963490266369378 0.6675177329079278 -0.6180041922337738 0.48546378465968343 0.16460866738867375 -0.8548657844216745 0.25409152169094495 -0.37759993856620166 -0.7986588468179883 0.34035496648712993 -0.7023026864954565 0.2968989664358077 -0.35893547812316073 -0.03623345330571959 0.7122396436814569 0.3145660342393706 0.04732649215925466 0.15018673674117378 0.6583231437559653 -0.5444421873753016 0.4246762550822538 0.262895199043232 0.3038272323744067 0.8572907538470698 0.07753067175303152 -0.47806352207891956 0.4124490502118727 -0.12313866172633642 0.11809718171402128 -0.750443918602234 0.5971274001516012 -0.4395464432803904 -0.6099137335216454 -0.5824517739191288 0.5049473587163491 0.5457060934319404 -0.4182550840173389 -0.621581978435096 -0.6382388994269408 0.026073387503208645 -0.732668411072116 -0.20626940491214896 0.5020466025552659 -0.7095485600810354 -0.518097838606485 0.033523078986256394 -0.8631236820496431 -0.38624491373955017 0.06494273911361516 -0.2180029986979346 0.028247770493917246 0.9277253113741444 -0.05209272118433339 0.028264261793643053 -0.027941538069987004 -0.6678175596545499 0.2297292841524181 -0.2622788766778481 0.27870828221779176 0.6521230079410782 0.26023654067399166 0.6479240094519211 0.20756654473139588 -0.2088614798215329 -0.22956691790380312 0.9572101519980658 0.3267276143165155 0.31506943785454933 0.6060848296033665 -0.22385826517589458 0.06101600226729764 0.4419411042762147 0.18131362280178148 -0.6816074920206849 0.6970566141134111 -0.4165078574049757 -0.048035379215864316 -0.11383534728785705 0.7716978363814424 -0.2697043184588618 -0.5057758842933844 0.5276161202355887 0.7722734756433618 0.5672797971995351,92.61617481767028
1,5,29,0.9965896835701286 0.2734781307743923 -0.3745186203345625 0.06760494013688367 -0.785408563431504 0.5877517944051847 0.4103668698727943 0.5683289258352993 0.12746604017771593 0.30528145264457374 0.7579340362129147 -0.25266790855664123 0.8903986703588234 0.7402627658923764 -0.840302501227471 0.26344293048356215 -0.45738087373056135 1.5698669012973079 0.30650873402853485 -0.13536460942814443 -0.0009256321588231309 1.2529860156367019 -0.13183590198806505 0.6978659607187365 -0.28529941894646194 -0.3843767968552618 0.7789417565215602 0.6286025563798026 0.3549554694360024 0.4466897064174118 -0.9529895703712872 0.8277259561018453 -0.744616608362805 -0.26896346075656297 -0.786356009625748 -0.4822407856289104 0.7298397807083912 -0.6209556676859651 0.9877240857833574 -0.26970634126133963 -0.4410545164531341 0.5207710943534511 -0.7069320239383077 0.970495202279771 -0.2948703958466279 -0.6399169721367992 -0.4432011939745526 -0.35407753727890734 -0.2571986731702498 0.6929451291559954 -0.9085168715132463 -0.6812453857194543 0.5572462675938319 -0.3057209964090488 0.5195158794078627 -0.4064558166166712 0.5198565320017281 -0.7352361302638002 0.8772258888070856 0.4854418825181863 -0.35495367599518257 -0.625737179727542 -0.42883733746750385 0.2447064095746101 -0.7150053226277946 -0.7504760620048792 -0.8832424891051924 -0.9019150790313057 -0.4094388796016355 0.6891606810613531 0.7527570346809189 0.7694231689694138 -0.3797380697167063 -0.535805036502579 0.6618335599624099 -0.41582027549632583 -0.12028105253279597 -0.8160944577860032 0.18006838525670066 -0.4904709010387627 -0.3999746127858943 -0.978360165101362 -0.5840953980976302 0.02689035892499035 0.5710256811843544 0.3595587958329951 0.8237791739393525 0.8274897317157408 -0.5718646691055447 0.6278441963527729 0.5961663024255146 0.7324327181515435 0.4370230299532172 -0.6383952333641161 0.6532862436843645 0.9365527656916697 -0.7993554862508194 -0.587389622741269 0.8641093553927033 0.46458219356481956 -0.3254962143738591 0.6362193991490677 0.3016838894297065 -0.34647710107538554 0.6814735549674407 0.9774682553033525 -1.3839299402097427 0.5779107519993709 -0.08786358654744775 -0.5183734878023825 -0.7532795738229334 0.2654504178248741 -0.8997264049273587 -0.46226248196538666 0.04609370579379227 0.5179217552479081 0.8148639361109089 -0.37183164223957466 0.8411428228561196 0.10370415087141355 0.006330882975459584 0.3442164673553576 0.33738019240732897 -0.33516122683587857 0.4421379283169695 0.4701562857398143 -0.07352574046862559 -0.3459554879704185 0.17158898116085308 0.08407387121296317 -0.5001927081754887 -0.7084125281699187 0.022748234107178522 0.3507606190953936 0.4793378600653935 -0.026424190409569226 0.2687750430616664 -0.5019193941294318 -0.6277580796271491 0.9629851744958725 0.9992449415957976 0.9304674097707284 -0.5027016956587704 0.9878437326403835 -0.6767883573732523 0.31652258795082644 -0.8471825249429981 -0.9681307668111923 -0.6087507226637037 0.9290954933582495 0.5908465537640949 -0.8809304400411794 0.1887516773240392 -0.5581594338160687 -0.16725721522511705 0.7974055488546934 0.5891705060146956 0.695605326108613 0.9957930146018226 0.7353810362516948 0.679876275686838 0.7985868133058085 -0.49635749560986087 0.205727345547551 -0.3610265589337809 -0.6786670678712314 -0.7104509564328576 -0.4838678936623535 -0.7768662586741368 0.9047311756792022 0.8290632013167465 0.4409965344117388 1.5534849002192173 -0.08040538592210167 -0.0903077222759876 -0.427503271960324 -0.083177600802256 -0.06586997957329888 -0.37350062998401246 -0.13397868554724268 0.7932986672854898 0.5247114577988068 -0.2375763314880992 0.8780371669497393 -0.9440765015371277 -0.14947325140596446 -0.7614798970461198 -0.4259003980145122 -0.058729848875697765 -0.6084164974766799 -0.7053475668833573 -0.07584680953883305 0.30747335484350735 -0.48165185001493604 -0.5605860802959388 0.17533011081625582 -0.4472236612427353 0.9560048306317208 -0.14200061677805076 0.14539791483811793 -0.5212165999112389 0.4953798036988797 1.527959882841159 0.4535146392860432 0.36903800285407007 -0.15758603279866065 0.3453836939359298 0.5256996252636981 -0.9197731396013611 -0.6208807810184234 0.7159115562414455 -0.9097475387671268 -0.28524912393622803 -0.49302946191810126 -0.8136579427681756 -0.5069078281490753 -0.4110336359151756 -0.29115253104904126 -0.48925506197968915 1.320065237747181 -0.5651935079830316 0.018923119688728507 0.5560080613100644 -0.38261889141190486 0.14824548834985304 0.8226863481547477 0.3474301348509856 -0.24764915171792845 -0.6711742876666598 -0.3302749224360303 0.07115894612050916 0.04603089882839417 0.530579759486483 0.7522503977300972 -0.5918078422608588 -0.3308919163617592 -0.3490907369037366 -0.23481906572755187 -0.75444050172773 0.8554234803921876 0.8701829139410748 0.1952582943334331 0.7919573500348405 0.5408500355208958 0.0532750651002305 -0.6623033335799615 0.7353402043536259 0.1650981337902595 0.3448535555159141 0.17521868673179747 0.8553782709968094 -0.35996347944975216 0.8760331391457254 -0.7684173486882742 -0.048095718191396575 -0.1755196781291155 0.10240553450584344 0.80884811570221 0.07414954229521875 0.7609761017586336 -0.4355502551436625 -0.9888827029178762 0.09487194101505819 0.4494159892773828 -0.08918540483432769,94.16528862039816
2,2,30,0.6488905716503459 -0.4716090147225733 0.4903675474408131 -0.6208853160375523 0.45110678656459124 -0.44172351229762163 -0.9695355162467592 0.04359169570477972 -0.14821099021859596 0.8389528331396012 0.3929726320848166 0.5156858176665313 0.41477073704295475 -0.5254670139841968 -0.30841109345263384 -0.33684857655508865 0.41104189229094135 -0.40222561990216743 0.967152828230506 -0.6209653237647069 0.09270852171189657 -0.332104901465903 0.86561507757745 -0.44041561635924276 -0.963272121985725 0.2644568921942012 -0.2240179744768973 0.6371986717092087 -0.9505075682021145 -0.6948670948788651 -0.6166033570904721 -0.516803046399875 0.7710068888044583 0.6863014851092992 -0.1602792410147622 -0.905831614019128 -0.17509787468395865 -0.9418306668214527 -0.6866794986216846 -0.38215434280838073 0.5061066427457368 0.6841625115765999 0.4447637334802421 0.9685932614879311 0.9500243185595887 -0.03347737952211971 0.5382901530575455 -0.147894992731941 0.8979275602714252 -0.6642979896177648 0.9024442247999033 -0.33286121533239643 0.9596776824813518 -0.1014438250706926 0.5410355813320387 0.9279809120688765 0.686298402061063 -0.08907003409546975 -0.7089067130206377 -0.8561357121631601 0.9383929491876879 0.21804835111357468 -0.951631548029805 -0.11555360551114968 -0.03131123066490216 0.06268768577150552 -0.1014438250706926 -0.32802110934353723 0.894552120994555 -0.9066365978891291 -0.6602598259945354 -0.8536907364557464 -0.9241780838841549 -0.46545837856953587 0.9551573293049256 -0.7672466251657714 0.21781810967558446 -0.5050403323341255 -0.05388454499349238 0.49938302977545224 0.9102658533740375 -0.28960211589361773 0.21253024729830255 -0.4087472081709913 0.16779717317771345 -0.34592026469558856 -0.03347737952211971 0.4490365394006115 0.12498848523286354 -0.6600877555020404 0.5410355813320387 0.5382901530575455 -0.09735623461807474 -0.6642979896177648 -0.043301665134568124 0.16058928068055872 0.9643467458933663 0.5267146882798464 -0.5025626827059386 0.7247322407200127 0.8572393637839286 0.45422909064654304 -0.050654678551101465 0.09032277728514315 0.07223229989001712 0.7070270575598963 -0.28960211589361773 -0.17952120924587445 0.4676581815718906 -0.8697628056955556 -0.07906437849377475 0.16085938521951615 0.6443560170330104 -0.08499445284835505 -0.5870457266345246 -0.13963440998155052 0.12524876685777686 -0.43005266880784787 -0.7313487690466296 -0.8074029311783073 -0.5404642811155669 0.9224105389742886 0.7374712321414154 0.460423760367342 0.7118603350040547 0.7247322407200127 -0.9429045752987089 -0.42591376692579663 -0.37053910705816995 -0.5868650540666727 -0.956497158367053 -0.7374497287442956 0.3929908313536845 -0.27371943170585866 0.2677552442226706 0.6023317359876312 0.4304324882972052 -0.7232665838454442 -0.8018352787349673 0.6183670460772357 -0.21044538260397538 0.20227226918391963 -0.7527730103235102 0.3918495506015325 -0.4405896200560486 0.8643323983588509 -0.9239516138514539 1.0391250269955439 -0.9654965983754459 0.9342351886063207 0.4497547407020134 -0.19475976284095317 0.23714696805951396 0.09186878509358465 -0.5338322126898083 -0.5240433782830963 0.0675905472091648 0.2868537848313215 -0.44014089411956164 0.21027126726981327 0.2726257161728738 0.40881626681018685 0.31929683594892877 0.8764980158369098 0.0031057824465345885 -0.6781677939542594 -0.719748657548881 0.26954398391841594 -0.7168784873470341 0.9358884003633483 0.8955058993151834 -0.9623122063396419 0.8898330781964718 -0.1434569611870986 0.7113893863789723 0.19852606846611054 0.813404452467575 0.345889377862037 -0.84124802840612 0.5588558996706721 -0.8184697595109349 0.9328956716588888 -0.48518154033380856 0.9841514690237493 0.3329491435116487 0.6768208041302182 0.9979998931183616 0.7814006068983792 -0.3327873173701945 0.9429612779304806 0.7225515129262101 -0.7065138111174389 -0.8146707946175096 0.6502123924886822 0.12045959964650454 0.8775309938444829 0.8597418331756463 0.43759791299134987 0.5768174230544783 -0.7784365246369389 0.34333645511937183 -0.6826848832301979 0.10586019137589209 -0.47458004785563124 -0.416794584683613 0.9462990203899215 -0.03349878276073742 0.9233950493091005 0.11004300779690261 0.38047951175148165 0.6140288232728253 0.13339168267058765 0.33482405130067483 0.023872147993650325 -0.11563218977041823 -0.005119415673580888 -0.9961410404011486 -0.7639029287727019 -0.009860151200925836 -1.2281995459799513 0.06868181495023107 -0.8420509420110939 0.10826349501246312 -0.07871177947546437 -0.3323456469480348 -0.3850664969657127 0.1885755608361801 0.27376491668009717 -0.8455241667166462 1.0013149579584404 -0.5535739879979109 0.06918056198532498 -0.524851029290683 0.49191050377998446 -0.2640023550937127 -0.174942582341036 -0.5689888369432003 -0.4526733462500725 -0.47994417367577635 -0.43796224454272226 -0.9877814231146105 0.19917547719279777 0.7713167629504718 -0.1122805654381982 0.14677736971701894 0.8108940070053519 -0.26780289353825504 0.7276281956384496 -0.8295351251491316 -0.5523370606639059 0.41183533858099874 0.9029508462892966 -0.24209399424258732 -0.1754570202457182 0.8575919143321038 -0.5519389950108846 0.3789845327763439 0.43648018041438763 0.4826297597916749 -0.5777463051083538 -0.653509374259863 -0.7201623108682872 0.07195094537775226 0.8791242830781278 0.0071366733329667476,114.13740496697304
2,3,30,-0.7793041397172258 0.14460987437781114 -0.11980865063095791 -0.947171736093362 -0.6331112348822194 0.11652713426570269 0.2245690120623136 0.1937929009028499 0.39168476957656795 -0.38400673029419874 -0.8804601654000221 0.024074496163181802 0.6841030065582597 -0.0676375845222541 -0.19980708003633685 -0.5401803269944951 0.3352704689344389 0.7459160594716525 0.8775775904660403 0.2363335775832882 0.544636726528978 0.3448946207683208 0.269220023129086 -0.009552205885461573 0.26174667749844915 -0.39260122381805185 -0.29572512732491063 0.693449777196065 -0.723219913674193 -0.3472135819301756 0.7185283333572445 0.6164526105179766 -0.8252561555321489 -0.2171096306096214 -0.604074628240703 -0.8776724918139767 -0.32569075832064137 -0.6610679129402413 -0.6767090406187213 0.16694857549045783 0.5289556541294729 0.7208733524653836 -0.7033097126090404 -0.3266549623236086 -0.7006975271831983 -0.46946431965706575 -0.6548403955283078 -0.1258658701417854 -0.3982103638875545 -0.40320205195917613 0.9114796978755286 0.08954265030115371 0.8444709784333237 0.6690769139442366 -0.05459355022822088 -0.5902025659760983 0.5728607562915058 -0.6955093229056535 0.8283859942486687 -0.6924492405741562 -0.00415979991489035 -0.5518802770459086 -1.584809825555043 -0.8524084856766745 -0.23413255150741605 0.09971936193755226 0.8125550228168563 -0.3172309629806753 -0.32034567850165563 0.5934636241936027 0.5981570883778742 -0.951678219927552 -0.16327492735624194 -0.548556839621702 -0.6062385121041821 -0.6352911552629166 -0.4704660272024235 -0.06901965932342585 0.0008334831798553211 0.4333483941459896 0.3803336746145507 0.8136624617519782 -0.6692994023821683 -0.36658963848980947 0.2530442172622347 -0.21415983807866046 -0.28831404382727577 0.9854000314626 -0.6838051833968586 -0.8087287644872296 -0.12851065159008845 -0.407725102759247 -0.6720462593276333 0.770954472319322 -0.37872215859124325 0.8857549979577348 0.43941314084838967 0.3300870539006372 0.8567645582724692 -0.3688499936612524 0.40706798900982766 0.4360991909747238 -0.4384364066593336 -0.8753991649153928 -0.15373656304212258 0.5051118674337463 -1.0426980519553861 0.8948920439575951 -0.39360919436922065 -0.953263942832689 0.34269910454040176 0.19379190623312303 0.910990049020222 0.7506790958915659 0.3789073562689469 0.16919132906604117 -0.7456588532816928 0.23781968642033013 0.2957569369104166 -0.37796855119127626 -0.22546309103761253 -0.8426121541709741 0.49812526311229655 -0.6498498927533438 0.9771836664961107 -0.9602824494230595 -0.0997382857624094 -0.1855196505152905 -0.5655449953216523 -0.016817979124835514 -0.5875686215050786 0.9351135023162174 -0.10849606469233342 0.9768830970040077 0.39338939240386406 -0.8160010435738443 0.6856191985653568 -0.44283486326638233 0.4922628066648427 -0.8145546361432079 0.7257606226240543 0.11960709540211334 0.40844798983595987 0.5854887343368371 -0.9992541548991254 0.6680336846117272 -0.26791747143433176 -0.15210028958198163 0.27010775815662647 -0.18727463532564803 -0.3724069371065725 -0.4410705409521549 -0.07628138806083284 0.9652323256651607 -0.648049254266053 -0.22871848667172645 0.6177454249148054 -0.737888516270568 0.7265068886251818 0.5519918217707753 0.3566117744056183 0.18881878190066903 -0.7027005234938557 -0.3253029764106856 -0.33056095702715704 -0.7231909675316519 0.7068110825449597 -0.21710431740221248 -0.7370304497770024 0.605196658714841 0.8880975293114479 0.45770687696329415 -0.5639514510356092 0.5711601759735409 0.7790268927128103 0.5201533469176829 -0.592002589694274 0.31851444945564955 -0.9352088313709366 -0.6367870538925896 0.9342616031854631 0.20386777681486778 -0.13373434531235462 0.9525024068161879 -0.5779266603483093 -0.6992087630443513 -0.834874669354168 0.5237897168288455 0.28328261523567755 -0.30507867786463505 0.7552730468133839 -0.012570386067372263 0.12302597907696677 -0.7436741965108175 -0.4501803548304729 -0.43830883978323687 -0.393405120892933 -0.8453827411231511 -0.8991111858100936 1.1162591145914473 0.7337292158733733 -1.080651246148435 0.6887994344011672 -0.769526042193093 0.7566067247726176 -0.4268501506334188 -0.11843987623165164 -0.686858032772695 0.6829396301447694 0.332901107359161 -0.7513185967104188 -0.6999725769899448 0.296878164950351 -0.5793435296165623 -0.7405565590737182 -0.09410947478755016 0.8111081529743744 -0.3106972698407856 0.4075383066438811 -1.5128731978919467 -0.7186191460340454 -0.08538391584715987 0.01704847516363009 -0.028987185320638487 0.18287754087138552 -0.07647264517966057 0.2883693436275177 0.45084092184311775 0.2346296187678109 -0.9547534404422298 -1.1554706381714026 -0.5529546754326982 1.4628925790738827 0.5103332097500786 0.5726397862765364 -0.21311244492894876 -0.5309731274287628 0.9892314038977936 0.9088840423766447 -0.9371337673622682 0.0004226486798686313 0.803540371934401 -0.822015935587646 0.237425591675408 0.15839939237118994 0.5750745566882425 0.749025946864498 0.22475679484874567 0.5721212040100441 -0.5000697181898297 0.48061428520719063 -0.6071537396161104 0.04266722992392924 0.7248400682890577 -0.6851240231922189 0.3678091508921304 0.491983525036247 0.8872013656071973 -0.9584116220543968 -0.9298370755375394 0.3968250669181548 -0.8319409580214254 0.21581769392369088 -0.2601739697656462 0.2989094393333269,104.35262782095371
