Crossover Chance,Mutation Chance,Num Elite,K Members,N Crossover Points,Avg Max Fitness,Avg Top 10 Fitness,Avg Overall Fitness
0.8267912719057585,0.8354821361846386,40,8,3,34.14076463315406,25.81959392664973,7.558220953264932
0.6928635847187615,0.7768045372215117,22,11,3,48.068150580357695,43.044000197618985,22.509084829806202
0.22552580327686203,0.4828336805969714,31,17,1,30.11851683915227,27.557828567173466,16.027790522455888
0.8003234118663303,0.15365782046544552,26,16,3,36.97100266702996,30.908481757853423,22.487242736905657
0.5538932368824774,0.24040353634953415,79,8,3,37.52474593338853,32.90859017051861,20.56308408810571
0.23627972090032834,0.7954587251228715,33,5,4,39.57659865025365,35.508721210960346,18.75237053178892
0.5017087274748115,0.7705253836185527,23,9,2,38.99372759287153,33.76610964730314,16.825503925826116
0.1692232918287746,0.9334510307849688,19,9,2,42.79742924238161,37.67457757566726,18.389733340118894
0.10291328339435034,0.520224915157458,25,7,3,39.99453401464834,37.64865256360861,24.00259224605566
0.077548118371238,0.8273457569387879,7,5,2,46.56430325473967,41.39267822241666,20.43344183330571
0.2838670385625453,0.8014269694453817,35,13,1,40.147000523211005,37.01725793772964,17.581448691318922
0.4391762348829597,0.6471926413370405,52,7,3,44.058788098532126,41.79394332281662,26.331272736761786
0.1599648974290536,0.19769184579876636,35,18,3,29.054368510505537,27.258373850711468,19.771011465239138
0.5054772755234812,0.7369008459925654,22,1,2,33.997597887294674,28.649372181472437,9.301696119696931
0.5588232861851501,0.4487993431801592,79,19,1,36.96907844029455,35.33465532733873,21.325867675305254
0.7705029949606426,0.5275771437852732,42,1,1,30.624408106152803,26.420443782042135,9.955915473342891
0.6747321928113653,0.5747944890986469,56,11,3,43.44379063748496,38.54912227665502,22.239436516243835
0.2870735617298427,0.5789680344575383,8,4,2,44.26341399496009,36.43963686208806,17.292014206795994
0.24520947257815745,0.8037365016379187,47,9,3,43.62868256933761,38.70214952579047,23.118926566383017
0.08958664852844177,0.3345999401311345,41,12,3,34.992105119908075,31.697692020075255,19.001145016830193
0.36310031601731524,0.8023494366512597,57,7,2,38.51943996833808,35.82626664799999,18.856463956357377
0.9329253824663133,0.8092419032846913,16,7,3,46.01674744131629,42.64454614461049,19.21396038148156
0.5275803328466973,0.5185786547290386,5,3,2,50.33507888461638,45.966664226763704,27.075811066665416
