ea,enemy,generation,genome,fitness,gain
1,2,21,0.6249982949508472 -0.23858991575774313 1.9852264989273862 0.5822657103870654 0.731174865727019 0.10277835442726913 -0.2066761713206201 0.45811860513740377 0.8868605149133202 0.031508784975268433 0.8840621570260911 -0.906475416529728 0.753535161257558 0.43103735498844603 0.019559903914237786 -0.5903498821402722 -0.9576711727701364 0.04634913351815913 -0.1459198118326468 0.6459755370879037 -0.3053066611930022 0.9132925602598709 0.1482653670636731 0.6786597694271526 -0.41610731377451665 -0.5592293866475913 -0.24342963034833298 -0.6415183047895849 0.5683604582217561 0.5317669461148161 -0.6374230024534607 0.8221685911309611 -0.8406456496639825 0.12415477581843448 -0.4430161446326648 -0.2717469232328096 -0.38707078708491705 0.9796250656500929 -0.3324367309970262 1.0052936431165351 -0.9863262174138736 -0.08376726111105981 0.7630422474360705 -0.8967356055948695 -0.29699860546415113 0.2099639640084669 0.8764781625481557 0.828995838728487 -0.40660774768898267 0.29903069376423086 -0.01405979526645533 -0.38970251428157066 -0.5846650074906291 0.7205127848803823 0.842581822868318 -0.9544426353998381 -0.7534832644687248 -0.31124272722469115 0.46546575216209063 0.2885212442122773 0.5257240109231776 -0.5061952847136013 -0.8200067184103293 -0.7378595525338071 -0.9016014537542001 0.40690228564980035 0.9831752106507546 -0.8906505569307401 0.7321675791119879 0.04823659138393731 0.8411410574358713 0.36513384717962055 0.7434377865407629 -0.10523565395014223 -0.9515877583491763 0.21351048255233174 0.7354415143752426 -0.06503387401519745 0.07807704558510409 -0.9357272294044051 0.32514472272949546 -0.13319522089868854 -0.3355749090520436 0.3263382090325725 0.3723785701718527 -0.8589067227806475 -0.3302855108342273 -0.39242127897844714 -0.9682029125536546 -0.4903587988831486 -0.03955452036155527 -0.78387749057738 0.6866072555301117 0.05977287889829186 0.09793436242458375 -0.41909342029860275 0.8249781505349558 -0.309560603494877 0.31130148942516883 0.1771548528380975 0.8913622237101348 0.7628256310475066 -0.9576834628333284 -0.6599248786615817 0.8338674187020396 -0.5867255581487214 -0.757371862307497 -0.7069512823484034 0.7257876233570011 -0.09014241637961518 -0.3908348027357258 -0.31459451262050186 0.717198488560867 -0.30174935439012107 -0.24302948915998557 -0.7914858166589879 0.05274663830400517 0.5661520617273301 -0.9429034845851059 0.35092358863760476 -0.042238928736470685 -1.333511122280513 0.7236415154380027 -0.5841632587463714 -0.23210182370888033 -0.9712243086649115 -0.5921357416235377 -0.43735927656140916 0.6551736741228957 -0.20343486009769346 0.7190075545665038 -0.08525997038461153 -0.23822131195003704 0.0851874748045124 0.9106072001478016 0.6811109342126322 0.1655511725940475 -0.8309109870149405 0.9621836982465999 -0.3281323221914243 -0.15871402474549912 0.32510227113617196 -0.6885917482813537 0.4931244221628348 0.2656064900351969 -0.5882414139464489 -0.3613474168445219 -0.8694607704318464 0.7299055310947571 0.36586929540514235 0.603581894798513 0.8545008170861281 0.637613530474346 -0.33439733177057424 0.7425398988708507 0.6295209002957457 0.37441461623578287 0.745840094333002 0.41962462571418135 -0.5201792078733035 -0.7604996984120792 0.7424364986023358 0.05437594282735514 -0.7363119464029604 0.9716585830351714 -0.8065128731337119 -0.3177523067229398 -0.06912482592272595 0.1611075315109387 0.4341937891257672 0.33208349564526585 -0.3033744451692699 0.32440455965521076 0.0075756336696395365 0.4685391223199543 0.39690797923348325 -0.24129974610577354 0.4608611348482969 -0.7890245780058163 0.19230233121893714 -0.6564017781258376 0.9320954242978521 0.5698012113565416 -0.8839126552151131 -0.02544899610920237 0.12951097289725944 0.7802781206614322 -0.6193314343910368 -0.20060264634772063 0.6594864356126185 -0.28122782870296525 -0.5275775836187006 -0.6668746395264518 0.563205214082274 0.8729321795080602 -0.9708029256095692 0.15554119430581403 0.7135599007282127 -0.33613445261464486 -0.18481476524760354 -0.2443746479028579 -0.8449476919511495 -0.8145728487789883 -0.6199316526194806 -0.8049611116612667 0.029800422261317294 0.061685025273870764 -0.6447476956675 0.9829725607074181 0.431408382234044 -0.12355885755359597 -0.3168079761379974 -0.9927972126630775 -0.5449647236849375 1.5022060753294446 -0.4467620647429198 -0.786072598592793 -0.035689085434782886 0.617574563579721 -0.617919511148281 0.13443578650598154 -0.037564960034907835 0.11624915522232881 -0.7721643254214694 -0.419476373490711 -0.6307318267442636 -0.7344784874876036 -0.5722515934467565 -0.5967704737859826 -0.8666463671768923 -0.48073168906336083 -0.7532022685838535 -0.1222696017421836 0.6123604894656005 0.07653545467607081 0.47716031862999375 -0.17789710133334902 0.26796801979258 0.1067701715057594 -0.24530319640991444 0.6964275964663642 -0.26757329278010267 -0.9000424819148016 -0.03758498496886238 0.9868650388813025 0.9375885276820635 0.49036064329214524 -0.5637246188092409 -0.23750877599264886 -0.6188681601123203 -0.9327438909556829 -0.49619297932277173 0.6271726745516761 1.0014358631260856 0.9752063629808421 -0.574667758815254 -0.738441007826923 0.27750808810738414 0.5920243089137223 0.11836202774221538 0.5302113340318981 -0.10895780362327567 -0.4699673145283312 0.9395420460491258 -0.11744356821045288,"[np.float64(66.23480889721516), np.float64(48.22855887686998), np.float64(48.22855887686998), np.float64(48.22855887686998), np.float64(66.20698639161586)]","[-20.0, -40.0, -40.0, -40.0, -20.0]"
1,3,30,-0.0892373118250771 0.820024189146564 -0.19606105007147256 0.9704953158234961 0.31845668509268 -0.30820085035420974 0.4403659226572012 -0.39059407524516065 0.9441313922521852 0.7241846236080292 -0.40591353062539404 0.7431237321563486 0.47670361840976705 0.16997787029812875 0.07512657965412695 -0.5204027871289203 0.6221419719444357 -0.9549601373759478 -1.0056967369317267 -0.20409689788779883 0.06743425817956039 -0.5058815672329249 -0.8661850761212933 0.3954142331245847 -0.8890141884634417 -0.6492400543370422 -0.6209890563028306 0.26647391832298095 0.6698506144070058 0.5040291456892074 0.25599645363158774 0.9872479615396776 -0.9757011095391734 0.5078365385863821 -0.4664809220290813 0.662524018754824 -0.6386473289774941 -0.6179767111904095 0.06324772369970955 -0.0657021405488265 -0.8827187185217786 -0.8006078601609838 0.6679080168448672 0.2644492475573448 0.8602229484102295 0.7052968708818756 0.4281130505409829 -0.9417828233676993 0.5165087230918102 -0.48459364879683786 0.6986894767035221 0.06964630343417344 0.19339511360353567 -0.30204860202065453 0.9968705058964971 0.059397708629048473 0.1001119976254028 -0.5701926506300796 0.13555905891057196 0.13393951585140962 0.359065366840586 0.22221096125298312 0.3848354884244175 -0.07409771501223172 -0.9680941770245979 -0.9155165079521845 0.2971264994809435 -0.7464467091713833 0.1734560841077919 0.8907096727537902 0.7199257624502933 0.9071213748463904 0.06890313417829641 -0.4403025478335023 -0.03250625173140009 -0.6494681831497418 0.23229570479119266 -0.6549870592063776 -0.3242700389656785 0.3638116037732868 0.10686304319363948 -0.7391517072613671 0.07970880868480267 0.27613698801030684 -0.22406191813116183 -0.03434799015671852 -0.9024778910927147 0.20434582279438548 -0.5894787772260044 -0.829526742395879 0.2238953960571084 -0.800588113650432 -0.7487226409331422 -0.13035648400814237 -0.3412568241878158 -0.7029646450197102 -0.47740348566295254 -0.4549600023195399 -0.37800782351554063 -0.045525480647801375 -0.38736931923882767 0.1400376839500621 -0.5037313271534503 -0.7382817566407556 -0.01662121222832802 -0.332369153349253 0.8816551534858232 -0.14911523205263144 0.771184333844025 0.2948884854665148 0.02110849465966491 0.26621338089064994 -0.4858882170391783 0.5312107550542187 -0.2795895581781431 -0.8282768887247804 0.8811382681285815 0.42041022304463516 -0.25749981558031165 -0.5156186460631524 -0.17327546820670658 0.3641222954945147 -0.5930297178227861 0.3828435164492645 -0.9756897685992114 0.3938161370541067 -0.9169457320417442 -0.47943906816678594 -0.1413194963381843 -0.8922960327557573 0.19767388911873174 -0.481043144467594 0.8497043184984796 0.28179041666219673 -0.5058582895659284 0.04361939044431387 0.014938268364083296 0.7607826075768351 -0.6377088732924605 0.626804167527824 -0.2873593312932361 0.8412299851744864 0.5555330745896334 0.9147445093601829 -0.0783048410317364 0.06349108409496562 -0.08026850840437874 0.1151969537514339 -0.49410959038370783 0.8054304421924721 0.34574572092201694 0.9086133191631667 -0.7466988104293157 0.1779973981234857 0.5763713269286848 -0.06667616819461464 0.33402982366067335 0.8542948902348524 0.8822049737501096 -0.8922064469527782 0.6674525906119622 -0.7613049604889791 -0.9173425401767763 -0.30140547602420087 -0.5656335543979474 0.45306112227282624 -0.963923127016608 -0.7635657348242639 -0.9509530824653942 -0.6080333480931492 -0.44316903091179616 -0.4760904838275039 -0.5218694810502029 -0.8849017991035912 0.8092777148540569 -0.4956959308097062 -0.8721830622572948 0.41075201745038603 -0.8846483387639548 0.1118346455134156 -0.8104404024901706 -0.5949432344872267 0.22379413429486972 -0.7162793223167241 0.7434986320763122 0.7486879712349099 -0.3523069832253207 -0.9460414432553803 0.760705846147609 -0.03500061628311224 0.9536414052829614 -0.2723284537735233 0.2713771433812957 -0.9923844840899392 -0.053923884556955626 0.10572807252257199 -0.6727733505779934 0.9267553991231068 -0.4661635398003696 -0.9344370158741979 0.9168031661520044 -0.9957345588976263 0.14642656804559628 0.3686411995297554 0.2331562163213341 -0.01712292055115694 -0.1742783141314832 0.5532564582595592 0.5282481722394103 -0.4240788963630273 -0.024134556636504767 -0.4130448792321546 0.28562428008197416 0.998842779445468 -0.6576685412066914 0.05187395068196721 -0.7601659545318402 -0.18994015220445526 -0.17734390285369628 -0.39728822532606434 0.05212764871182274 0.6361297735565881 0.4161099779590936 0.39152997534218104 -0.3720604774135099 -0.4346896525429762 0.11989180089689166 -0.0326201395534762 0.07107581380339623 -0.5990565770533733 0.8763230916920268 0.17403033538081747 0.8280960088215947 0.09959308584378812 -0.9323355248844194 -0.2466229500983812 -0.8913581966148258 -0.248244480998623 0.7688690244352439 0.6487935349796459 0.5952285570413128 0.9422021832076026 0.9690330920624978 -0.29760059065373756 -0.19480164524318155 0.08970192576433478 0.10181505978631722 0.6726648128503359 0.5691423458968998 0.41083618360025054 0.3025994038395532 0.4543263704129723 0.21479600734868298 0.443054115879036 -0.859943579800841 -0.4523388314840049 -0.9861626498044138 0.18373612730684208 -0.10572436832664245 0.2172909489259114 -0.2196890333848951 0.5028652554657 -0.697069279623943 -0.6381748985730049 0.505272951233698,"[np.float64(74.54952957785582), np.float64(30.31642023266132), np.float64(30.28626719449063), np.float64(74.54952957785582), np.float64(3.8352140260764855)]","[-10.0, -60.0, -60.0, -10.0, -90.0]"
1,5,29,-0.25404980855599973 0.07296383281720412 -0.2601299679558604 0.33257474843880797 -0.8367809286325909 0.09497591135586958 0.8470035960367814 -0.365429893179807 -0.013588062675050416 -0.4040603139216697 0.6336517419168246 -0.8771527394289067 0.07236013544794173 0.8534466834235312 -0.41279985526880864 -0.25722103785977923 -0.6584566359584765 0.4864908046347908 -0.24846013652022392 -0.04776611535368325 -0.3357796419857437 0.11804435269250556 -1.0427630963416654 -0.5415680164841331 0.8016879631111429 -0.3102504914158333 0.9961353756118845 -0.08857357901343219 -0.7475113145027945 0.5174130699829407 -0.8454046495484793 0.9414780884484613 0.5655494496223359 0.04922250910515774 -0.5760137256348388 0.3424854897822967 -0.8612273434768858 -0.9569642574086532 -0.39471759142537777 -0.2462699169747454 -0.9343851681952029 -0.41207372963281386 -0.17419794192843474 -0.35199267865940653 -0.29654185283917056 0.36461910725506175 0.5138840053855833 -0.05964298683803393 0.5401041662549089 -0.6009914166005559 0.6055261937296021 0.056659063155317435 0.3513217905113768 -0.6936562742627621 0.15299832154805193 0.9206428880718482 -0.44187069076298924 0.9903727279734387 -0.42328768271299266 -0.5692580832566594 0.44350701782021584 0.2016003764547143 -0.3164431864517052 0.6765446100099073 0.14200679698670848 0.2620760092712491 0.2777240225187358 0.4226062396828485 0.7193848117621531 0.06891570308893347 0.25259300042083 0.2912406575004982 -0.27019426140718505 0.02686533899834953 0.6051669985146266 1.1345603499165797 -0.757846753980622 -0.01884574523976512 0.8516530900427755 0.3330195179281137 0.6630902715787649 -0.98557653183094 1.2782508795612948 -0.8646937044178535 -0.40191120850778783 0.7919420006301845 0.942279007119569 -0.7230984650802612 -0.4997601731327135 0.36628162853612234 -0.31787988097589714 -0.3214511455925566 0.7022441673867141 0.2866671324580776 -0.23891219323322443 0.8294629649693981 0.3854954994054985 0.9667558266740034 0.8831785609753149 -0.5919856965199439 0.9577867584739819 -0.46525236998730307 -0.06766741701481162 0.4195342588044846 0.7289781548886516 -0.22797558571539844 -0.14673260859014348 -0.822345238733285 0.11197303511349121 0.48770740425254044 0.44095898530557875 -0.5516957341394748 -0.32440401285617737 0.9122529663699337 -0.2426061425801456 0.28142597552225745 -0.7258135350098032 1.0029328193737543 -0.16650653658682812 0.943411619907357 -0.22159791185860567 0.7029220711555644 -0.5260307647072703 -0.8746653911493961 -0.48753120165108377 -0.313115355792155 0.9909001416156404 -0.7550586842670162 0.6550356820354823 -0.13875234793052155 0.7621918321521342 -0.14655266892884478 0.10565873991771613 0.891939212269137 0.6592970366181924 -0.44851514471705345 0.46939350062259666 0.1406756886418825 -0.21176557885107417 -0.6640769080670563 -0.41897376387649055 0.8613386615082288 1.7163591708677168 -0.9881663922468036 0.5104870057625956 -0.917775441281399 -0.039227918365351055 -0.7247883183005943 0.5233150936100099 -0.08040207262951071 0.7483416040689277 -0.5918396730375335 -0.48849709439987077 -0.7670519881368911 -0.09142871835371835 -0.6608800805154598 -0.9640341573080038 1.1988154878416526 -0.861380271976329 -0.2799948840035609 0.010061062144414545 -0.19793612958829065 0.4679369801304385 -0.4800097335903124 -0.12764509531401225 -0.4697105400885422 -0.9267956396482648 0.07514786713899202 -0.5199388963806328 -0.24162760286123322 0.5021895804558694 0.9470682424084862 -0.9639848252117857 -0.5141941208762488 0.5009071187775218 0.2734454550076868 -0.6289948631252905 0.7782559556862414 0.3498871262132063 0.0035683544311342352 0.9518613929815964 -0.20488703948331755 0.20032309282335836 0.8821851507783938 0.5433553208305587 0.8092387760928578 -0.2301906065432324 0.6122176484346613 0.5979411569121751 -0.9162775625885808 0.9670412397767885 0.8850748460732774 -0.4483851188778514 -0.5636325800348467 -0.7531143747999554 0.691737900755455 0.002311882916075314 0.06382572106289186 -0.7898664256878822 0.6111846394765016 -0.4952608229112528 -0.5501212698452751 -0.9768001790990362 -0.47732631700123873 -0.8962379554675715 0.036900522309490036 -0.38760451119940575 0.5486778205879566 -0.8343390189589375 0.3701389457015589 -0.9392102983695201 0.299654270120718 -0.02523382000206352 0.1703499732535867 -0.3713603887525929 0.0616448068609462 -0.5696639671670205 -0.1606492154938205 -0.5031343658507138 -0.20790363062130973 0.08064164918508149 0.3461434228376191 -0.804811880174829 -0.9838831270997073 0.09500839742006639 0.4836395056757689 -0.9770423980857517 0.8790209977426018 0.7863515459064152 -0.7695441564606407 -0.722000865554526 -0.10115070238710136 0.5162914405262531 0.6460628798938617 0.44238910982212487 0.5911025690172567 0.18085367521515106 0.22640091855624864 0.5167141791451177 0.966271476280976 1.087223333228257 -0.14949311493575812 0.6436339970879105 -0.380729148020883 0.6417620089160656 0.7555898175776343 -0.5921592175356907 1.291431856078714 0.07661889855202841 0.6597205332819897 -0.8379126858487385 -0.461534156952601 0.9764866470548341 -0.368733965261119 -0.41007415370391476 -0.07012515271564324 0.18739249915354828 -0.09272893821763173 -0.8570289390658057 -0.6343741797601691 0.7521453542332783 -0.9082966005484391 -0.16874322662164565 0.890355194773268 0.15315195713115903,"[np.float64(91.5031719383005), np.float64(91.5031719383005), np.float64(94.81740496697303), np.float64(94.81740496697303), np.float64(92.68896154643431)]","[70.60000000000028, 70.60000000000028, 98.80000000000001, 98.80000000000001, 81.40000000000018]"
2,2,30,0.8670431992732359 -0.6889786662957191 -0.8820076516434475 -0.7445231899300446 -0.9008899782553856 0.5505831180589966 0.5285375099248619 0.8881459880982916 -0.25206621152689923 0.47681529617942187 -0.242734006457994 -0.12474015253154747 0.6927222913409505 0.3726198525118891 0.3410985828760378 -0.6470548573820385 -0.7027006745712252 -0.16535149205393518 -0.27367387418646105 -0.0915668076808418 0.8906208777616724 -0.042915326024467015 0.009369154589903284 -0.23134752041289652 -0.6063187403887975 0.07677243928409672 0.9733362499884435 -0.06428729879675399 0.6539392128272203 0.834088280369573 0.4450722016283095 -0.07148310564020166 -0.4617085462307855 0.5190028710383794 -0.995808057178646 -0.6222617886623762 -0.48764694621658444 -0.41105096641128847 0.35232208631190165 -0.790677360744555 -0.6017559850978786 -0.3422978425375238 0.4506646603635882 -0.2340334069825445 -0.34576922913021835 -0.46106934039958625 -0.33358093067255623 0.5437778116778866 0.5142907449857581 0.4973112848164509 -0.3003451958839496 -0.13359943823635057 0.3278834993388904 0.10980432099218906 -0.07317407542691812 0.3038675275702003 -0.1524023242673372 0.7754322752472396 -0.4530203237751431 0.3867361153545623 0.04797757258445859 0.9991568212267394 -0.7396829028436946 -0.782224096347012 0.9496978925500614 0.13885446058189282 -0.44510284334577355 -0.7413311264686662 -0.039732629189684676 -0.2373128210303881 0.48337120831018376 0.09546535166050019 0.7429646076024667 -0.745983715460208 -0.8226562115648879 -0.4956087186998055 -0.4393682954677407 -0.9382503963818662 0.4033788908004776 0.408735697909536 0.6971209280378785 -0.7325124103758447 0.699081750746545 -0.8887032408992535 -0.4979395762214498 0.36892212071608355 0.08222643652667694 0.6410418153758775 0.07930651412785572 0.8730697451243363 -0.2619544526217825 -0.927525135418737 0.6869632472295149 -0.0007830558296040291 0.4809032748925328 0.9053371952417815 -0.4209677569502801 -0.5937891052462696 0.48829938802145745 0.735025675683576 -0.9215627667141957 0.6155985891277524 -0.08102015708094257 -0.5742352364501921 0.5749017612847276 0.6017800828100717 0.7614774902684254 -0.24405670993470174 -0.7905074580732026 -0.05869871628193257 0.7535724369621197 0.5870798544327533 0.8940388823371823 0.7826098307106713 0.7833339990599597 0.9172343961207505 -0.18616033275072685 0.8806338846624213 -0.03260332642633845 -0.568056219178209 0.0722161067130069 -0.16393559296923077 0.3913710429853212 0.18576921424252735 0.8722315615535305 -0.8072461908621509 0.6870435157507278 0.46989881828029734 -0.5330797981401727 -0.12568811845142935 0.1429828508541302 0.2949827505408773 -0.16146046851203777 0.6989035403037465 -0.13694761034003244 0.9758092871040804 -0.2051355827456549 -0.20852260659352928 -0.7928835222489679 -0.7767306081349725 0.7635633955334002 -0.6196518378866758 0.8112119941966853 -0.35732747172431467 0.6909029420525836 0.10592238925855724 0.4673437791803039 0.2207781561527311 -0.2757302923524181 -0.12894901144868598 0.7017450134891854 0.43183804192402064 0.3965951830647996 0.8046075491133833 -0.7152262483532394 -0.4836335944403247 -0.6670836863933072 -0.1559358579906247 -0.37161703466470186 0.8103249645769453 0.993486235032732 0.6037831792022228 -0.2625270767089314 0.030040907175167053 0.8810981506219475 -0.9192872324444077 0.7931028931472355 -0.26814099926625323 0.03338673154416072 -0.14083419385292806 0.7061794409884645 0.4220627191699343 -0.08612425600834506 -0.9938708978920443 0.5336972159797393 0.13589630829563748 -0.7688436261471021 0.9513806670612877 0.4885640206163919 0.10251031677129707 0.9640793591572219 0.1940891572696235 -0.16626383625586305 -0.5177120226450684 -0.27590777480260287 0.2778080072458662 -0.3274679450629363 -0.020225853300247953 -0.5069580541129517 0.5809114347251383 0.328171558005083 -0.6133432062274029 -0.442866191631362 -0.6401979502894797 0.5028726806369153 0.9445816687411037 0.8119164898511184 -0.3365988852780031 -0.11887131633684511 0.6269290863698624 -0.38518981170294075 -0.27810766740122905 -0.6289986574316675 0.9158021182621134 -0.5689499223561214 -0.564939961990907 -0.8730402058145909 -0.7769970411949692 -0.7589310160114435 -0.1551011663090902 -0.18128063338025768 0.045790064300272396 0.13291365800827437 0.9749101877306832 -0.9916623432400696 -0.7530707939444634 0.38922538507131565 -0.5139714700383387 -0.9198099965652309 0.20489248821594225 -0.8357756728591015 -0.3298380203055913 -0.19622389197522394 -0.8034811841200349 0.6586680568137075 -0.8255628734482212 0.08943345046885987 0.07652705038650587 -0.44950648539191096 0.8842435042983606 -0.10360988404608062 0.6073104848202155 -0.8597935343221463 -0.6615170552663967 0.7555342788469769 -0.6243828417870398 0.34842132795306346 0.3179491670612242 -0.2923370402949083 0.9594133751944804 -0.24166048150403574 -0.7666357705769764 -0.32233745129535496 0.9501581170010078 -0.8408431821798761 0.3073775758816122 0.7005616435566573 0.6844685673634725 0.32815915434431364 0.7213940202554665 0.6621984761397193 -0.3909528832200399 0.6939347010501311 -0.2476095283939581 0.005306492129170337 -0.4361363408631902 0.719539702513138 -0.5095402145657111 0.3395680439768647 -0.061875660857608095 -0.23576284232200528 0.4798974419333435 -0.8340326871217922 0.45614442249935494 0.8481105490980985,"[np.float64(88.50693855665945), np.float64(104.86266573298147), np.float64(107.37946500072772), np.float64(107.37946500072772), np.float64(88.50693855665945)]","[70, 76, 82, 82, 70]"
2,3,30,0.7266639237488985 -0.5761354829202576 0.7475833899028743 1.4262961135705652 -0.378281665014389 0.056491303884020905 0.4865504871117572 0.2256023994522947 0.3945936672311632 0.8579578170701887 0.600879644357891 -0.09964100785024188 -0.5418882752395202 0.6302240772024073 -0.7935676034572388 0.07524733045617676 -0.9442525801719297 -0.6714818388263444 -0.9407829545706334 0.8516961957463718 0.7909838323989953 0.5625155974559606 0.40998528321348093 0.9218072918148239 -0.5737506759805352 0.30754237166705223 -0.8575319358411057 0.40669822674148626 0.789284358274625 -0.07850546216769372 -0.8942020573025529 0.48048666163435305 0.8500571964207699 0.09025404394389117 -0.2651318485537471 -0.7896380691490779 -0.5250028860500415 0.254356347344181 -0.1304180584588881 0.745948616676793 0.9538076948752148 0.9653689268418351 -0.6655817590045974 0.43179120845277175 -0.5185161172428714 0.5991071626351036 -0.13027262063696698 0.25250457371525714 -0.7163710363373126 -0.30081037935529653 0.698581250956706 0.10649358591051444 0.2800818455979528 0.28489977548034434 -0.10291133050552251 -1.4631250721807036 -0.29358167515756683 0.5783660287233604 -0.10978703087424635 0.6642314352989631 -1.5843880268606805 0.9522378648632982 0.9021422585507602 -0.12049552885825987 0.7292781807695381 -0.3024729760400587 -0.8097147784777886 -0.20353896143751316 0.8140347474834391 -0.8298262246939283 0.7583267392491515 -1.0672151266829186 -0.9312616992302833 -0.3971572760787012 -0.5651120319013285 0.8605619655385317 0.9289818972451496 -0.3586467715898829 -0.15222111242061853 0.3809680550120833 -0.5691648513470948 0.30958423133930246 0.5054001562913901 -0.9499734913602482 -0.891839444507847 -0.7528189727036483 0.5435646724899125 -0.635484071918788 -0.10396452294588365 0.6847619437369754 0.2795425409798593 -0.5494026804456853 -0.4668330282348616 0.8590709253754096 0.864784620599393 0.8661288290301961 -0.063134542166003 0.7305141565564979 -0.3583660287698942 1.333848265145686 0.33027380239077186 -0.5106788029780298 0.7014486124784269 0.07145407711040774 0.8346030769308552 0.7802622981001177 -0.47363394288284405 0.9755818866675928 0.6486550455062607 0.7581762691566931 -0.5219757155024651 0.4060367215313213 0.485981838358855 -0.5458992107029201 0.864289747347633 0.007976656231137455 0.01279909102349027 0.17920671644952127 -0.6981127880690577 0.1518030650606803 -0.501129905197619 0.2189177626286688 0.4234863536414817 0.4600488391948818 -0.5931122239172264 -0.5597159172237643 0.4802396689024048 -0.10017359976940882 -0.02158752446521861 0.4179000800057884 0.5951393339975115 0.03483706642392102 0.40972916973797435 -0.5035321041421588 0.5720065062482087 0.239452725085874 -0.18475350853774902 -0.4300705798724527 -0.30858073962505683 0.43300340562995854 0.19568406119245974 0.7384361767053271 0.3753947176090475 0.28242609767217414 0.2086054160429236 -0.4230795581691904 0.2808565303029662 0.7382795807060232 -0.19243144589259265 0.3265788067203328 -0.8536503258564974 -0.5779731261650165 -0.9631410094758535 -0.9157173425047216 -0.5197845245212689 0.21814154118235263 -0.30831287072312274 -0.8976120441151909 0.8902628619698133 0.9383951925777119 0.6812004260038134 0.43891836041447085 1.1410899756774808 0.49187406639044595 -0.8208783768109349 0.2860398934120887 -0.9624335253076868 0.06037679244619221 1.2310499893217295 -0.03978004601845911 -0.07880835513989481 0.40865135692649673 -1.4682521215724804 0.6565506732956357 0.19093174649045563 -0.4544433810002352 0.991192626737184 -0.9210834504482746 -0.030314061943493398 0.22427590410612663 0.6242397230471866 -0.6826738719291886 0.5073080373910214 -1.0113587775645374 0.3804913279843698 -0.15478381946252262 -0.21062678618970077 0.7586924790090355 0.901443717811029 -1.003467196633023 -0.2093796607241123 1.2441430976201386 -0.2520417437476876 0.06647938312853263 0.28915156407107623 -0.5229190368630188 -0.9240465147248422 0.3612815522654327 -0.11298187712032148 -0.020159215156001442 0.2780819724355508 0.8548653298804869 -0.8202520366867183 0.5359881541622415 0.08943649804381706 -0.6616649333508263 -0.7521971827691905 -0.019055688463158305 -0.0002973865861639613 0.2921567398706406 0.1327199087337989 0.3441965324768097 -0.2622889204360967 -0.05538912194372543 -0.182605698772705 -0.8605207139399816 0.3645089888213402 -0.2970082901624347 0.5296222847794534 -0.5276363797609331 -0.9220130987589297 0.04824891043929158 0.4753941008635778 0.5709428190692287 -0.7206179214601802 -0.15919344557541004 -0.15807587961805694 -0.1511072366615378 0.43964918886353455 -0.05825236276994866 -0.9185577688338984 -0.90062242710081 0.6104809794049133 -0.9230410121038064 0.42422924748833357 -0.8280187077523422 0.7430614052372063 -0.18214124339688076 -0.10245646349315041 -0.46659157900548576 -0.4645049284090388 0.9707942711426653 -0.578060252231651 0.48500572436462597 -1.3135957172691424 0.8187012772491764 0.7972958521593125 0.001086159819018162 -0.9109990191574764 -0.6350965875642427 0.5037752814579797 0.7230478570250993 -0.8666934731863261 0.8837420333481706 -0.4099845998797624 -1.2303314555774585 0.4230523058528568 -0.2808360424235119 0.613680399885645 -0.03692944006517007 -0.9577708631899067 0.31716828554240906 -0.21553337097598924 0.3227575527848927 -0.13506882611646653,"[np.float64(66.40901301948914), np.float64(49.95974528872259), np.float64(85.81003982910273), np.float64(66.40901301948914), np.float64(66.40901301948914)]","[-10.0, -30.0, 58, -10.0, -10.0]"
